index,category_num,point_num,delta,ans
0,6,15,1.6689026453268587,4
1,5,12,2.5588822555186006,4
2,3,19,2.681894341743919,1
3,7,13,2.2240959328503167,3
4,3,17,1.7513066631037368,1
5,3,13,2.1453522324503416,0
6,4,10,1.8894994641115233,1
7,7,15,2.3982853621043514,0
8,5,19,1.5421426951051806,2
9,9,11,2.712109784947719,8
10,10,17,1.556264553863362,9
11,10,18,2.6569364130038364,7
12,9,17,1.6349186273065843,3
13,9,16,2.1345610202494694,2
14,3,18,2.8659409739819406,1
15,3,14,2.239485779416769,2
16,4,19,2.828525232265615,3
17,10,17,2.055253749369733,7
18,9,18,2.088862657612056,7
19,3,13,2.5867901107412914,0
20,7,19,2.8113953418263344,1
21,4,10,2.200098823998683,1
22,8,17,2.2311952359793237,3
23,8,12,1.5841006196478578,1
24,2,16,1.717815409121103,1
25,8,14,1.531794842167483,1
26,7,19,2.0349732224198354,5
27,7,14,2.527893847557656,0
28,4,14,1.960402973275201,0
29,3,19,2.0874176715054653,1
30,8,15,1.679804372513594,0
31,6,15,1.5341533599051536,0
32,6,15,2.0371410215881527,0
33,5,20,2.193691577028999,2
34,4,13,1.819822568126649,0
35,3,15,2.6474276602597353,2
36,8,19,2.5534879488461413,5
37,9,14,2.604575034936082,8
38,8,15,2.104640476576498,7
39,6,12,1.6249212673006133,1
40,7,10,2.9053422841366396,5
41,7,13,2.5722330997757528,6
