index,category_num,point_num,delta,ans
0,7,15,2.3586110467423955,3
1,8,16,2.6420717726496648,3
2,9,18,1.5419816031042588,2
3,5,20,1.5235635142486883,2
4,8,12,1.7403629307692228,6
5,7,19,1.7529184589284155,5
6,8,11,2.7807246817635933,5
7,8,18,1.5099856421419213,4
8,10,19,2.0993173095902895,6
9,7,11,2.502253771093577,0
10,7,14,1.608588142395547,0
11,2,17,2.054829630064938,1
12,4,19,2.1231165326808217,2
13,5,18,1.912751574192436,4
14,5,16,1.6229965997958011,0
15,4,17,2.4488602820459473,1
16,7,14,2.9056488646021505,4
17,9,19,1.786949712744482,5
18,4,12,2.139333809895369,3
19,8,18,2.02431870645845,6
20,9,15,1.730184061259184,2
21,8,16,2.5045234579848303,0
22,9,12,2.6017341609081166,6
23,2,11,1.6940670750751643,1
24,5,18,2.2214895283902703,3
25,7,19,2.6082587335159486,1
26,2,19,2.6231365793408528,0
27,2,12,2.1616751669503182,0
28,8,13,2.50620845299684,0
29,3,12,2.188420201101018,2
30,9,16,2.0035718878947035,8
31,3,14,2.877098799158512,0
32,4,11,2.510291148515621,1
33,6,18,1.6741661894049162,3
34,4,15,1.8442726518182893,3
35,6,11,2.8729183592724876,5
36,3,13,1.6891317204627656,2
37,5,20,2.936072586680898,4
38,5,10,2.9643959068237153,1
39,3,19,2.092093105915507,0
40,9,12,2.1468267251127244,8
41,4,15,2.0787961276952345,0
