x,y,ca
0.2004995741413751,0.624960545528783,0
5.632678879523654,2.5610620985588777,0
4.312271927850333,3.385657731947875,0
7.383012566195506,3.547762342685529,0
9.142729751555686,8.490123268844053,0
8.818441405012685,0.16638327818758614,1
1.5778602965251909,0.5027480340763526,1
1.0490327981447598,1.6560356057717733,1
1.2261189675829858,5.187470336176396,1
8.436476819543122,5.784900951524235,1
2.627242786925015,3.303021077242631,2
0.026698509750945343,4.5485683200511415,2
1.1161772517838797,6.620082862376476,2
6.824597781034145,6.91727823491962,2
8.285956840535894,7.4630020034020355,2
9.64165055856179,1.049049877216433,3
1.1806511379946119,3.9800924277345633,3
3.597426889280817,5.153582334077653,3
4.791916810942803,5.4926067546549815,3
8.145436616105023,9.731269651570075,3
2.7007142384816465,6.545815703748766,4
6.796474038536461,8.215830364675178,4
3.455556525049744,9.60077392248378,4
9.705199803147304,9.61284970028481,4
6.703754642788683,9.957194190834437,4
3.5588084671563616,0.7625363278578707,5
4.714958252615989,1.240174217973844,5
2.2868106023461188,4.469034408963744,5
4.178634602031772,6.532069866650065,5
5.3898233753851885,8.689337635249958,5
5.613485411850101,0.17490685611671752,6
7.09573229341677,0.6948052653316007,6
8.325752949158128,1.5798163911733685,6
0.8302316889113202,9.489490434414307,6
2.058356192086613,9.49282472903718,6
3.637352433357119,2.0121652198244657,7
9.961076140047268,6.710845843120228,7
5.092950015885128,7.346599324106968,7
0.275306451855971,7.785437827054621,7
2.4202437607305898,7.872924739212297,7
6.85635429034539,2.0103299568140294,8
8.800422877026174,2.719868031499071,8
6.173830644403834,4.215246451047915,8
5.8806859583716165,6.088722652268463,8
4.650641009561948,9.780008115570107,8
2.172339606994342,2.143830394366974,9
0.4883892242182596,2.9271627810661927,9
9.245383549394322,4.249531969108416,9
7.281347746492671,5.266145304660455,9
3.8755800045186977,8.169872249059434,9
