index,category_num,point_num,delta,ans
0,6,16,1.7297926600488598,5
1,7,18,1.8246211409393096,4
2,3,14,2.087631636961545,0
3,6,14,2.1777231590942394,0
4,5,13,2.214428839200514,4
5,2,10,2.414914394065936,1
6,8,14,1.6334844865917617,3
7,5,11,2.905591493449869,4
8,2,18,2.0668071727784745,1
9,3,20,2.6229295561191344,1
10,3,11,2.574422702544127,0
11,10,16,2.0349382726366807,5
12,8,18,2.6119019668747123,4
13,3,12,1.9944318180445952,2
14,7,13,2.4119056053457246,4
15,6,11,2.6196973160663646,3
16,6,13,2.585940928723739,4
17,3,17,1.932220143445412,0
18,2,17,1.7345664784066157,1
19,4,12,1.5374629226296208,3
20,6,17,1.9328900779418845,2
21,3,10,2.964180606889797,1
22,5,16,2.0433570158685934,4
23,6,14,1.7805990481137282,0
24,10,19,2.7064082068753645,2
25,6,15,2.56505561908169,5
26,2,11,1.501080314351082,0
27,9,17,2.5801818721517016,8
28,10,18,1.6664559533625827,4
29,6,10,2.287334930089986,4
30,5,15,1.515993508151424,4
31,9,18,2.1927953909289144,3
32,2,12,2.675372281649069,1
33,10,17,2.0814974832635866,5
34,4,18,2.543711493284275,3
35,9,11,2.1604467075313893,7
36,9,19,2.585091967968938,5
37,3,15,1.7754749959620248,1
38,10,15,2.392595786321195,0
39,8,15,2.03784548057214,3
40,8,10,2.6508523290778285,6
41,9,10,1.7798153979541471,4
